Country code,Year,"Industry (including construction), value added (% of GDP)","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Literacy rate total (% of people aged 15 and above),Age dependency ratio,Trade (% of GDP),Terms of trade adjustment (constant LCU),Access to electricity,"Services, value added (% of GDP)","Unemployment, total (% of total labor force)",R&D expenditure (% of GDP)
SYC,1960,,,,80.2697561819125,,,,,,
SYC,1961,,,,81.4639306113814,,,,,,
SYC,1962,,,,82.9062668715478,,,,,,
SYC,1963,,,,84.6707272207006,,,,,,
SYC,1964,,,,86.6919232629373,,,,,,
SYC,1965,,,,88.8517811704835,,,,,,
SYC,1966,,,,91.0963741955737,,,,,,
SYC,1967,,,,93.4048901460844,,,,,,
SYC,1968,,,,95.5485869440514,,,,,,
SYC,1969,,,,97.3208229708343,,,,,,
SYC,1970,,,,98.5258713285677,,,,,,
SYC,1971,,,,98.4147137778423,,,,,,
SYC,1972,,,,96.8243931569888,,,,,,
SYC,1973,,,,94.7889204642723,,,,,,
SYC,1974,,,,92.7442696031139,,,,,,
SYC,1975,,,,90.6004886202906,,,,,,
SYC,1976,16.2130226069831,,,88.0731093220602,97.0921374745278,,,67.2462697794007,,
SYC,1977,13.8280616382806,,,85.0434261755017,88.0983373884834,,,69.4444444444444,,
SYC,1978,13.8029589778077,,,82.7110771401693,85.3202757229321,,,69.7209145931405,,
SYC,1979,15.1135376597593,,,81.2124190564292,83.5590023576126,,,69.3510361086984,,
SYC,1980,15.638602824079,,,79.9101302542518,81.3940970379021,-865114457.277769,,69.529674063064,,
SYC,1981,17.6650991617256,,,78.7738351154415,71.2891024330403,-775613095.495602,,59.4868125127786,,
SYC,1982,15.6004952538176,,,77.4071829899747,76.4966983078828,-669993472.546298,,60.0908068510111,,
SYC,1983,15.7820525732702,,,76.0411536146227,73.6558565817303,-693784708.638978,,58.9787491187431,,
SYC,1984,16.5246699747215,,,75.0622159705691,74.9177979589926,-817784059.250038,,60.5561277033986,,
